"match_id,inning,batting_team,bowling_team,over,ball,striker,bowler,non_striker,runs_by_batter,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,14.0,7.0,BB McCullum,CL White,DJ Hussey,6.0,0.0,6.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,15.0,1.0,DJ Hussey,AA Noffke,BB McCullum,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,15.0,2.0,DJ Hussey,AA Noffke,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,15.0,3.0,BB McCullum,AA Noffke,DJ Hussey,2.0,0.0,2.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,15.0,4.0,BB McCullum,AA Noffke,DJ Hussey,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,15.0,5.0,BB McCullum,AA Noffke,DJ Hussey,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,15.0,6.0,DJ Hussey,AA Noffke,BB McCullum,0.0,0.0,0.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,16.0,1.0,BB McCullum,Z Khan,DJ Hussey,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,16.0,2.0,DJ Hussey,Z Khan,BB McCullum,2.0,0.0,2.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,16.0,3.0,DJ Hussey,Z Khan,BB McCullum,1.0,0.0,1.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,16.0,4.0,BB McCullum,Z Khan,DJ Hussey,6.0,0.0,6.0,None,0,None,None,None"
"335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,16.0,5.0,BB McCullum,Z Khan,DJ Hussey,2.0,0.0,2.0,None,0,None,None,None"
